feature_value,precision,recall,f1-score,support,feature
 Private,0.9735983460292796,0.9737762237762237,0.973625054329383,4576,workclass
 Self-emp-not-inc,0.9712665136699781,0.9713701431492843,0.9712371349852312,489,workclass
 ?,0.9913724456453092,0.9914529914529915,0.9913872053735512,351,workclass
 Federal-gov,0.9783783783783784,0.9783783783783784,0.9783783783783784,185,workclass
 Self-emp-inc,0.9536657148835922,0.9517543859649122,0.9518129466200614,228,workclass
 Local-gov,0.9605880559166706,0.9604651162790697,0.9605201098197027,430,workclass
 State-gov,0.9838940697217752,0.9838709677419355,0.9838047816878462,248,workclass
 Without-pay,1.0,1.0,1.0,4,workclass
 Never-worked,1.0,1.0,1.0,2,workclass
 HS-grad,0.972926942538247,0.9732595666205625,0.9727777314254997,2169,education
 11th,0.9817637577711259,0.9813953488372092,0.9802480620155039,215,education
 Some-college,0.9754975927847539,0.9756606397774688,0.9753513975587167,1438,education
 Bachelors,0.9656472573162536,0.9656160458452722,0.9656280253694808,1047,education
 7th-8th,0.9925951637163022,0.9925373134328358,0.9922126192525171,134,education
 Assoc-voc,0.9657938208620541,0.9659090909090909,0.9658341658341658,264,education
 Doctorate,0.919732441471572,0.92,0.9191176470588236,75,education
 10th,1.0,1.0,1.0,196,education
 Masters,0.9694064768986027,0.9688473520249221,0.9687830983116081,321,education
 Assoc-acdm,0.9529991875443913,0.9532710280373832,0.9530333373791318,214,education
 Prof-school,0.9818181818181818,0.9818181818181818,0.9818181818181818,110,education
 5th-6th,1.0,1.0,1.0,72,education
 12th,1.0,1.0,1.0,88,education
 9th,0.9918721586995454,0.9918032786885246,0.9912350912558425,122,education
 1st-4th,1.0,1.0,1.0,35,education
 Preschool,1.0,0.9230769230769231,0.9600000000000001,13,education
 Never-married,0.996284201381743,0.9963082602676512,0.9962465304913302,2167,marital-status
 Married-civ-spouse,0.9490146600303325,0.9489622320517183,0.9489008990828474,2939,marital-status
 Divorced,0.9875467356053071,0.9876819708846585,0.9875310193222048,893,marital-status
 Separated,0.9914936395623091,0.9914163090128756,0.9910780753371009,233,marital-status
 Widowed,0.989537560159029,0.9894179894179894,0.9890410515410516,189,marital-status
 Married-spouse-absent,1.0,1.0,1.0,86,marital-status
 Married-AF-spouse,1.0,1.0,1.0,6,marital-status
 Machine-op-inspct,0.9749724727154823,0.9753694581280788,0.9746318408206386,406,occupation
 Craft-repair,0.9775489782972508,0.9776674937965261,0.977572878417372,806,occupation
 Farming-fishing,0.9751456279642227,0.9746192893401016,0.9748311217162717,197,occupation
 Exec-managerial,0.9622341199870343,0.9622166246851386,0.9622192637251191,794,occupation
 Other-service,0.9912581699346406,0.9911764705882353,0.9908188391635724,680,occupation
 ?,0.991421218359449,0.9915014164305949,0.9914359622203047,353,occupation
 Adm-clerical,0.9802313509850131,0.9803921568627451,0.9800150559074005,765,occupation
 Sales,0.9632566559014036,0.9633986928104575,0.963011740775639,765,occupation
 Tech-support,0.9685425202519423,0.9668508287292817,0.9671650611111632,181,occupation
 Prof-specialty,0.9629309993188038,0.9629156010230179,0.9629217024276486,782,occupation
 Transport-moving,0.9607767803922261,0.9611940298507463,0.9602577009196087,335,occupation
 Handlers-cleaners,0.9856243383295258,0.9854014598540146,0.9844148552177749,274,occupation
 Protective-serv,0.9527470830852025,0.952755905511811,0.9524877704240459,127,occupation
 Priv-house-serv,1.0,1.0,1.0,46,occupation
 Armed-Forces,1.0,1.0,1.0,2,occupation
 Own-child,0.9990300817980277,0.9990291262135922,0.9990126260241121,1030,relationship
 Husband,0.9471458114315258,0.9471042471042471,0.9470492870444734,2590,relationship
 Not-in-family,0.9914822536450175,0.9915151515151515,0.9913915896937288,1650,relationship
 Unmarried,0.989944811220371,0.9901547116736991,0.9899633585470142,711,relationship
 Wife,0.9614638879533078,0.9609120521172638,0.960813413304774,307,relationship
 Other-relative,0.9911111111111112,0.9911111111111112,0.9911111111111112,225,relationship
 Black,0.9899451155782135,0.9899856938483548,0.9898228049333694,699,race
 White,0.9717835331071292,0.9719234275296262,0.9718036370782381,5485,race
 Asian-Pac-Islander,0.9460932293749166,0.9463414634146341,0.9459799743260591,205,race
 Other,1.0,1.0,1.0,60,race
 Amer-Indian-Eskimo,0.9846590909090909,0.984375,0.9840354901014003,64,race
 Female,0.9884295433876565,0.9885268471776044,0.9883472178598279,2179,sex
 Male,0.9657308315839731,0.9658514074757729,0.9657430999506961,4334,sex
 United-States,0.973263432318725,0.9734088179790702,0.9732696367226076,5829,native-country
 Jamaica,1.0,1.0,1.0,16,native-country
 India,0.9591836734693877,0.9523809523809523,0.953391436150057,21,native-country
 Germany,0.9670846394984326,0.9655172413793104,0.9647687784014969,29,native-country
 Mexico,0.9957983193277311,0.9915966386554622,0.9929793193873294,119,native-country
 Hong,0.9166666666666666,0.8333333333333334,0.851851851851852,6,native-country
 Peru,1.0,1.0,1.0,13,native-country
 Iran,1.0,1.0,1.0,15,native-country
 ?,0.9740123695954769,0.9741379310344828,0.9739758780086075,116,native-country
 Poland,0.9479166666666667,0.9375,0.9388528138528138,16,native-country
 Columbia,1.0,1.0,1.0,11,native-country
 Japan,1.0,1.0,1.0,16,native-country
 Puerto-Rico,0.96684350132626,0.9655172413793104,0.9633922534531053,29,native-country
 Philippines,0.9230769230769231,0.9230769230769231,0.922406569465393,39,native-country
 South,0.9423076923076923,0.9375,0.9342857142857143,16,native-country
 England,1.0,1.0,1.0,18,native-country
 Guatemala,1.0,1.0,1.0,7,native-country
 Canada,0.9583333333333334,0.9523809523809523,0.9530864197530863,21,native-country
 Thailand,0.64,0.8,0.711111111111111,5,native-country
 China,1.0,1.0,1.0,13,native-country
 El-Salvador,1.0,1.0,1.0,24,native-country
 Ireland,1.0,1.0,1.0,6,native-country
 Greece,0.8666666666666667,0.8333333333333334,0.8148148148148148,6,native-country
 Cuba,1.0,1.0,1.0,19,native-country
 Vietnam,0.9448529411764706,0.9411764705882353,0.9323213156230234,17,native-country
 France,0.9,0.8,0.819047619047619,5,native-country
 Portugal,1.0,1.0,1.0,10,native-country
 Trinadad&Tobago,1.0,1.0,1.0,7,native-country
 Scotland,1.0,1.0,1.0,4,native-country
 Italy,1.0,1.0,1.0,10,native-country
 Honduras,1.0,1.0,1.0,2,native-country
 Ecuador,1.0,1.0,1.0,6,native-country
 Haiti,1.0,1.0,1.0,6,native-country
 Nicaragua,1.0,1.0,1.0,10,native-country
 Dominican-Republic,1.0,1.0,1.0,12,native-country
 Taiwan,1.0,1.0,1.0,7,native-country
 Cambodia,1.0,1.0,1.0,1,native-country
 Laos,1.0,1.0,1.0,2,native-country
 Hungary,1.0,1.0,1.0,3,native-country
 Yugoslavia,1.0,1.0,1.0,1,native-country
